序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
55,紫钗记,第九出,懒画眉,是,92,翠, 画翠蛾 ,成就你 玉镜台前去 画翠蛾,正文
56,紫钗记,第九出,醉罗歌,否,93,粉,了 粉红涴,露 春纤弹去了 粉红涴,正文
56,紫钗记,第九出,醉罗歌,否,93,红, 粉红涴 ,露 春纤弹去了 粉红涴,正文
57,紫钗记,第九出,醉罗歌,是,94,金, 千金买得,千金买得春宵着,正文
57,紫钗记,第九出,醉罗歌,是,94,金,不的金鞍骏,少不的金鞍骏马,正文
57,紫钗记,第九出,醉罗歌,是,94,红,十红拖地,十红拖地送媒婆,正文
58,紫钗记,第九出,尾声,否,95,乌,传来乌鹊喜,传来乌鹊喜,下场诗
0,紫钗记,第十出,玩仙灯,否,96
0,紫钗记,第十出,小蓬莱,否,97
59,紫钗记,第十出,驻马听,否,98,银,实少银鞍照,实少银鞍照路衢,正文
59,紫钗记,第十出,驻马听,否,98,金,金鞍玉,金鞍玉辔,正文
60,紫钗记,第十出,驻马听,是,99,银,银鞍绣,银鞍绣帕须全具,正文
61,紫钗记,第十出,前后,否,100,青,合樵青伴钓,只合樵青伴钓徒,正文
61,紫钗记,第十出,前后,否,100,绿,有绿鞲文,有绿鞲文帻,正文
0,紫钗记,第十出,前后,是,101
62,紫钗记,第十出,尾声,否,102,黄,了 黄金屋,只愿你人马 平安稳坐了 黄金屋,正文
62,紫钗记,第十出,尾声,否,102,金, 黄金屋,只愿你人马 平安稳坐了 黄金屋,正文
63,紫钗记,第十一出,番卜算,否,103,红,觉唇红退,睡觉唇红退,正文
64,紫钗记,第十一出,菩萨蛮,否,104,红,线摇红睡 ,枕痕一线摇红睡,正文
0,紫钗记,第十一出,五供养,否,105
0,紫钗记,第十一出,五供养,是,106
65,紫钗记,第十一出,金珑璁,否,107,金,金珑璁,金珑璁,曲牌
65,紫钗记,第十一出,金珑璁,否,107,粉,频敲粉 ,花氲蝶翅频敲粉,正文
65,紫钗记,第十一出,金珑璁,否,107,绿, 绿枝么,绿枝么凤拍,正文
65,紫钗记,第十一出,金珑璁,否,107,翠,翠掩重,翠掩重门春睡懒,正文
65,紫钗记,第十一出,金珑璁,否,107,金,困金钗,困金钗,正文
66,紫钗记,第十一出,玉交枝,否,108,银,背银缸暗,背银缸暗擘瑶钗,正文
66,紫钗记,第十一出,玉交枝,否,108,金,刻千金浼 ,春宵一刻千金浼,正文
66,紫钗记,第十一出,玉交枝,否,108,红,连环红襦懊,结连环红襦懊解,正文
0,紫钗记,第十一出,玉交枝,是,109
0,紫钗记,第十一出,沉醉东风,否,110
67,紫钗记,第十一出,沉醉东风,是,111,红,把余红 偷,把余红 偷觑还猜,正文
68,紫钗记,第十一出,尾声,否,112,白, 明白,咱 去来说与你个 明白,正文
68,紫钗记,第十一出,尾声,否,112,白,奴要白饭,奴要白饭,正文
68,紫钗记,第十一出,尾声,否,112,青,马要青刍 ,马要青刍,正文
68,紫钗记,第十一出,尾声,否,112,白,白面儿,白面儿郎宜俊马,正文
68,紫钗记,第十一出,尾声,否,112,黑,老子黑,马老子黑,正文
68,紫钗记,第十一出,尾声,否,112,黑,脸通黑 ,你们脸通黑,正文
68,紫钗记,第十一出,尾声,否,112,白,白饭青,白饭青刍不见些儿,正文
68,紫钗记,第十一出,尾声,否,112,青,白饭青刍不,白饭青刍不见些儿,正文
0,紫钗记,第十二出,玩仙灯,否,113
69,紫钗记,第十二出,孝顺歌,否,114,白,鸳鸯白马光,借 鸳鸯白马光户闾,正文
69,紫钗记,第十二出,孝顺歌,否,114,紫,闹色紫茸铺,闹色紫茸铺,正文
69,紫钗记,第十二出,孝顺歌,否,114,黄,压胯黄金镀,压胯黄金镀,正文
69,紫钗记,第十二出,孝顺歌,否,114,金,胯黄金镀 ,压胯黄金镀,正文
69,紫钗记,第十二出,孝顺歌,否,114,红,飞香红玉 ,真个 飞香红玉,正文
70,紫钗记,第十二出,孝顺歌,是,115,金,坐凭金騕褭,坐凭金騕褭,下场诗
70,紫钗记,第十二出,孝顺歌,是,115,金,跨 金鞍骏,你跨 金鞍骏驹,正文
70,紫钗记,第十二出,孝顺歌,是,115,绿,拥 绿鞴苍,拥 绿鞴苍奴,正文
71,紫钗记,第十三出,鹊桥仙,否,116,银,绛台银烛吐,绛台银烛吐青烟,正文
71,紫钗记,第十三出,鹊桥仙,否,116,青,烛吐青烟 ,绛台银烛吐青烟,正文
72,紫钗记,第十三出,好事近,否,117,红,红曙卷,红曙卷窗纱,正文
73,紫钗记,第十三出,腊梅花,否,118,红,红线结,红线结姻缘,正文
74,紫钗记,第十三出,窣地锦裆,否,119,红, 春红带醉,春红带醉袖笼鞭,正文
74,紫钗记,第十三出,窣地锦裆,否,119,蓝,玉艳蓝田 ,美人香玉艳蓝田,正文
74,紫钗记,第十三出,窣地锦裆,否,119,翠,楼生翠烟 ,遥望秦楼生翠烟,正文
75,紫钗记,第十三出,掉角儿,否,120,翠,教翡翠闻王,须教翡翠闻王母,正文
75,紫钗记,第十三出,掉角儿,否,120,青,青袍粉,青袍粉面,正文
75,紫钗记,第十三出,掉角儿,否,120,粉,青袍粉面,青袍粉面,正文
76,紫钗记,第十三出,瑞鹤仙,否,121,绿,系绿萝、,系绿萝、千里红丝一线,正文
76,紫钗记,第十三出,瑞鹤仙,否,121,红,千里红丝一,系绿萝、千里红丝一线,正文
76,紫钗记,第十三出,瑞鹤仙,否,121,金,金屏合,金屏合箭,正文
77,紫钗记,第十三出,宝鼎儿,否,122,金,拜谢金王母,拜谢金王母,正文
77,紫钗记,第十三出,宝鼎儿,否,122,红,楼前红烛夜,楼前红烛夜迎人,正文
77,紫钗记,第十三出,宝鼎儿,否,122,蓝,还有蓝田白,小生还有蓝田白玉一双,正文
77,紫钗记,第十三出,宝鼎儿,否,122,白,蓝田白玉一,小生还有蓝田白玉一双,正文
78,紫钗记,第十三出,锦堂月,否,123,红,绣幙红牵,绣幙红牵,正文
78,紫钗记,第十三出,锦堂月,否,123,绿,门楣绿绕,门楣绿绕,正文
79,紫钗记,第十三出,锦堂月,是,124,银,缥缈银鸾映,缥缈银鸾映现,正文
79,紫钗记,第十三出,锦堂月,是,124,蓝,蓝桥试,蓝桥试结良缘,正文
80,紫钗记,第十三出,锦堂月,是,125,青,倚青鸾玉,倚青鸾玉镜妆成,正文
80,紫钗记,第十三出,锦堂月,是,125,金,孔雀金屏中,对孔雀金屏中选,正文
81,紫钗记,第十三出,锦堂月,是,126,翠,翠气生,翠气生烟,正文
