出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第五出,集唐,否,2,"[7, 7, 7, 7, 6, 3, 8, 8, 6, 4, 6, 6, 6, 4, 4, 4, 6, 6, 5, 17, 10, 4, 4, 9, 7, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 6, 3, 8, 8, 6, 4, 6, 6, 6, 4, 4, 4, 6, 6, 5, 17, 10, 4, 4, 9, 7, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 7, 7, 7, 6, 3, 8, 8, 6, 4, 6, 6, 6, 4, 4, 4, 6, 6, 5, 17, 10, 4, 4, 9, 7, 4, 4]"
第五出,霜天晓角,是,3,[0],[0],[0],[0],[],[],"[7, 6, 6, 6, 6, 4, 8, 4, 6, 2, 7, 4, 7, 4, 1, 6, 9, 9, 4, 2, 8, 3, 4, 3, 4, 8, 4, 12, 4, 2, 1, 8, 6, 4, 10, 9, 4, 4, 6, 6, 4, 10, 4, 9, 4, 4, 5]"
第五出,皂罗袍,否,4,[0],[0],[0],[0],"[7, 6, 6, 6, 6, 4, 8, 4, 6, 2, 7, 4, 7, 4, 1, 6, 9, 9, 4, 2, 8, 3, 4, 3, 4, 8, 4, 12, 4, 2, 1, 8, 6, 4, 10, 9, 4, 4, 6, 6, 4, 10, 4, 9, 4, 4, 5]",[]
第五出,皂罗袍,是,5,[0],[0],[0],[0],[],[],"[5, 9]"
第五出,尾声,否,6,[0],[0],[0],[0],"[5, 9]",[]
第六出,绕地游,否,1,[0],[0],[0],[0],[],[]
第六出,丑奴儿,否,2,"[7, 4, 4, 7, 7, 4, 4, 7, 10, 6, 4, 3, 4, 12, 6, 4, 2, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 4, 4, 7, 7, 4, 4, 7, 10, 6, 4, 3, 4, 12, 6, 4, 2, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 4, 4, 7, 7, 4, 4, 7, 10, 6, 4, 3, 4, 12, 6, 4, 2, 5, 5]"
第六出,卜操作数,否,3,[0],[0],[0],[0],[],[],"[2, 8, 8, 7, 7, 2, 5, 4, 6, 4, 8, 10, 5, 4, 5, 8, 6, 4, 4, 4, 4, 1, 7, 8]"
第六出,朱奴儿,否,4,[0],[0],[0],[0],"[2, 8, 8, 7, 7, 2, 5, 4, 6, 4, 8, 10, 5, 4, 5, 8, 6, 4, 4, 4, 4, 1, 7, 8]",[],"[5, 5, 6, 4, 4, 6, 4, 4, 6, 3, 4, 4, 6, 11, 7, 7, 5]"
第六出,朱奴儿,是,5,[0],[0],[0],[0],"[5, 5, 6, 4, 4, 6, 4, 4, 6, 3, 4, 4, 6, 11, 7, 7, 5]",[],"[2, 9, 6, 3, 2, 6, 6, 4, 6, 6, 6, 4, 9, 4, 2, 4]"
