出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第三十八出,霜天晓角,是,2,"[4, 6, 4, 8, 7]","[0, 1, 0, 1, 0]","[0, 0, 4, 0, 0]","[4, 5, 0, 7, 7]","[7, 7, 7, 7, 9, 6, 9, 4, 6, 8, 4, 5, 6, 5, 3, 6, 2, 6, 4, 8, 6]",[],"[3, 4, 6, 6, 6, 4, 10, 4, 4, 5, 5, 7, 5, 4, 4, 1, 1, 4, 6, 10, 2, 5, 9, 4, 8, 2, 8]"
第三十八出,锦上花,否,3,"[5, 4, 4, 4, 3, 3, 6]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]","[5, 4, 4, 4, 3, 3, 5]","[3, 4, 6, 6, 6, 4, 10, 4, 4, 5, 5, 7, 5, 4, 4, 1, 1, 4, 6, 10, 2, 5, 9, 4, 8, 2, 8]",[]
第三十八出,锦上花,是,4,"[5, 4, 4, 4, 3, 3, 5]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[5, 4, 4, 4, 3, 3, 5]",[],[],"[7, 3, 9, 2, 6, 2]"
第三十九出,唐多令,否,1,"[5, 5, 8, 1, 7, 5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]","[5, 5, 8, 0, 7, 5]",[],[],"[7, 7, 7, 9, 7, 8, 6, 6, 6, 4, 4, 6, 4, 6, 4, 3, 2, 6, 10, 6, 6, 4, 6, 12, 12, 8, 7, 2, 11, 4]"
第三十九出,江儿水,否,2,"[9, 12, 5, 9, 3, 1, 4, 4, 6, 4, 9, 7, 8, 6, 4, 7]","[1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1]","[0, 0, 5, 9, 3, 1, 4, 4, 6, 4, 0, 0, 0, 0, 0, 0]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 6, 4, 6]","[7, 7, 7, 9, 7, 8, 6, 6, 6, 4, 4, 6, 4, 6, 4, 3, 2, 6, 10, 6, 6, 4, 6, 12, 12, 8, 7, 2, 11, 4]",[]
第三十九出,江儿水,是,3,"[9, 11, 10, 8, 8, 7, 4, 8]","[1, 4, 3, 1, 1, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0]","[8, 7, 7, 7, 7, 5, 4, 6]",[],[],"[7, 7, 1, 2, 4, 6, 6, 6, 8, 6, 8]"
第三十九出,小措大,否,4,"[6, 7, 8, 8, 7, 9, 3, 8, 7, 7]","[2, 1, 1, 2, 3, 2, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 6, 7, 6, 4, 7, 3, 5, 7, 7]","[7, 7, 1, 2, 4, 6, 6, 6, 8, 6, 8]",[]
第三十九出,小措大,是,5,"[4, 7, 8, 8, 7, 8, 3, 8, 7, 7]","[0, 0, 2, 0, 3, 1, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 7, 6, 8, 4, 7, 3, 5, 7, 7]",[],[],"[1, 8]"
第三十九出,尾声,否,6,"[9, 10, 3, 6, 3, 13]","[2, 3, 0, 0, 0, 6]","[0, 0, 3, 6, 3, 0]","[7, 7, 0, 0, 0, 7]","[1, 8]",[]
第四十出,孤飞雁,否,1,"[5, 8, 8, 3, 3, 4, 4, 4, 5, 5, 4, 2, 7]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 8, 7, 3, 3, 4, 4, 4, 4, 4, 3, 2, 7]",[],[],"[5, 5, 5, 5, 14, 6, 5, 11, 6, 10, 7, 6, 4, 4, 6, 10, 6, 4, 12, 6, 6, 11, 4, 5, 5]"
