序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
35,邯郸记,第六出,朱奴儿,是,53,金,所有金钱,奴家所有金钱,正文
35,邯郸记,第六出,朱奴儿,是,53,黄,听的黄榜招,听的黄榜招贤,正文
35,邯郸记,第六出,朱奴儿,是,53,金,所赠金资,尽把所赠金资,正文
36,邯郸记,第六出,雁来红,否,54,红,雁来红,雁来红,曲牌
36,邯郸记,第六出,雁来红,否,54,金, 宽金盏,宽金盏,正文
36,邯郸记,第六出,雁来红,否,54,金,但泥金早传,但泥金早传唱,正文
37,邯郸记,第六出,雁来红,是,55,黄,送上黄金榜,赠 家兄送上黄金榜,正文
37,邯郸记,第六出,雁来红,是,55,金,上黄金榜,赠 家兄送上黄金榜,正文
0,邯郸记,第六出,尾声,否,56
0,邯郸记,第七出,夜行船,否,57
38,邯郸记,第七出,集唐,否,58,黄,日昨黄榜招,日昨黄榜招贤,正文
38,邯郸记,第七出,集唐,否,58,兰,有个兰陵萧,卷子中间有个兰陵萧嵩,正文
39,邯郸记,第七出,粉蝶儿,否,59,粉,粉蝶儿,粉蝶儿,曲牌
39,邯郸记,第七出,粉蝶儿,否,59,绿, 绿满宫,绿满宫槐,正文
40,邯郸记,第七出,一封书,否,60,红,笔题红在,亲看御笔题红在,正文
40,邯郸记,第七出,一封书,否,60,绿,袍赐绿来 ,待剪宫袍赐绿来,正文
0,邯郸记,第七出,一封书,是,61
41,邯郸记,第七出,尾声,否,62,黄,则这黄金买,则这黄金买身贵,下场诗
41,邯郸记,第七出,尾声,否,62,金,这黄金买身,则这黄金买身贵,下场诗
41,邯郸记,第七出,尾声,否,62,红,杏园红你知,杏园红你知 贡举的 须陪待,正文
41,邯郸记,第七出,尾声,否,62,黄,六根黄荠,一碟菜五六根黄荠,正文
42,邯郸记,第八出,谒金门前,否,63,金,谒金门前,谒金门前,曲牌
42,邯郸记,第八出,谒金门前,否,63,红,曾吃红绫春,我也曾吃红绫春宴饼,正文
43,邯郸记,第八出,谒金门后,否,64,金,谒金门后,谒金门后,曲牌
43,邯郸记,第八出,谒金门后,否,64,白,白日来,白日来深殿,正文
43,邯郸记,第八出,谒金门后,否,64,青,青云满,青云满后尘,正文
44,邯郸记,第八出,降黄龙,否,65,黄,降黄龙,降黄龙,曲牌
44,邯郸记,第八出,降黄龙,否,65,金,是 金殿云,唱好是 金殿云程,正文
44,邯郸记,第八出,降黄龙,否,65,红,日边红杏,日边红杏,正文
45,邯郸记,第八出,降黄龙,是,66,红,是 红裙,是 红裙,正文
45,邯郸记,第八出,降黄龙,是,66,绿,不把绿衣郎,怎 不把绿衣郎敬,正文
45,邯郸记,第八出,降黄龙,是,66,红,有个红汗巾,奴家有个红汗巾儿在此,正文
45,邯郸记,第八出,降黄龙,是,66,银,侍枕银屏,我待 侍枕银屏,正文
45,邯郸记,第八出,降黄龙,是,66,白,净表白介,净表白介,括号
45,邯郸记,第八出,降黄龙,是,66,红,状元红并,迤逗的状元红并,正文
45,邯郸记,第八出,降黄龙,是,66,粉,醉墨粉红催,香飘醉墨粉红催,正文
45,邯郸记,第八出,降黄龙,是,66,红,墨粉红催,香飘醉墨粉红催,正文
46,邯郸记,第八出,黄龙衮,否,67,黄,黄龙衮,黄龙衮,曲牌
47,邯郸记,第八出,黄龙衮,是,68,朱,笑语朱帘映,笑语朱帘映,正文
48,邯郸记,第八出,尾声,否,69,白,书生白面好,书生白面好轻人,下场诗
0,邯郸记,第九出,北点绛唇,否,70
