序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
42,牡丹亭,第十出,绵搭絮,否,68,粉,妆销粉印,“晚妆销粉印,正文
0,牡丹亭,第十出,尾声,否,69
0,牡丹亭,第十一出,征胡兵,否,70
0,牡丹亭,第十一出,征胡兵,是,71
43,牡丹亭,第十二出,夜游宫,否,72,金,侍千金小姐,伏侍千金小姐,正文
43,牡丹亭,第十二出,夜游宫,否,72,乌,乌鸦管,乌鸦管的凤凰,正文
0,牡丹亭,第十二出,月儿高,否,73
44,牡丹亭,第十二出,月儿高,是,74,粉,如剩粉残膏,胜如剩粉残膏,正文
44,牡丹亭,第十二出,月儿高,是,74,红,这残红满地,则这残红满地呵,正文
45,牡丹亭,第十二出,懒画眉,否,75,粉,高来粉画垣,少甚么低就高来粉画垣,正文
46,牡丹亭,第十二出,懒画眉,是,76,红,有啼红怨,则咱人心上有啼红怨,正文
0,牡丹亭,第十二出,不是路,否,77
0,牡丹亭,第十二出,不是路,是,78
47,牡丹亭,第十二出,忒忒令,否,79,丹,似牡丹亭畔,这一答似牡丹亭畔,正文
47,牡丹亭,第十二出,忒忒令,否,79,金,春甚金钱吊,线儿春甚金钱吊转,正文
0,牡丹亭,第十二出,嘉庆子,否,80
0,牡丹亭,第十二出,尹令,否,81
0,牡丹亭,第十二出,品令,否,82
48,牡丹亭,第十二出,豆叶黄,否,83,黄,豆叶黄,豆叶黄,曲牌
48,牡丹亭,第十二出,豆叶黄,否,83,丹,牡丹亭,牡丹亭,正文
48,牡丹亭,第十二出,豆叶黄,否,83,红,心的红影儿,忑一片撒花心的红影儿吊将来半天,正文
49,牡丹亭,第十二出,玉交枝,否,84,白,放着白日青,明放着白日青天,正文
49,牡丹亭,第十二出,玉交枝,否,84,青,白日青天,明放着白日青天,正文
49,牡丹亭,第十二出,玉交枝,否,84,黄,儿压黄金钏,是这答儿压黄金钏匾,正文
49,牡丹亭,第十二出,玉交枝,否,84,金,压黄金钏匾,是这答儿压黄金钏匾,正文
0,牡丹亭,第十二出,月上海棠,否,85
50,牡丹亭,第十二出,二犯幺令,否,86,红,三月红绽雨,他趁这春三月红绽雨肥天,正文
50,牡丹亭,第十二出,二犯幺令,否,86,青,叶儿青,叶儿青,正文
51,牡丹亭,第十二出,江儿水,否,87,翠,人拾翠春亭,“佳人拾翠春亭远,正文
0,牡丹亭,第十二出,川拨棹,否,88
0,牡丹亭,第十二出,川拨棹,是,89
0,牡丹亭,第十二出,川拨棹,是,90
52,牡丹亭,第十二出,意不尽,否,91,白,白居易,白居易　（贴,下场诗
53,牡丹亭,第十三出,杏花天,否,92,紫,魂中紫阁丹,梦魂中紫阁丹墀,正文
53,牡丹亭,第十三出,杏花天,否,92,丹,紫阁丹墀,梦魂中紫阁丹墀,正文
53,牡丹亭,第十三出,杏花天,否,92,乌,又惊乌,一枝难稳又惊乌,正文
0,牡丹亭,第十三出,字字双,否,93
54,牡丹亭,第十三出,桂花锁南枝,否,94,黄,尽了黄淡酸,俺吃尽了黄淡酸甜,正文
0,牡丹亭,第十三出,桂花锁南枝,是,95
55,牡丹亭,第十三出,尾声,否,96,红,树树红,笑指生涯树树红,下场诗
56,牡丹亭,第十四出,破齐阵,否,97,翠,芳迷翠蝶,怕待寻芳迷翠蝶,正文
56,牡丹亭,第十四出,破齐阵,否,97,红,春归红袖招,春归红袖招,正文
57,牡丹亭,第十四出,醉桃源,否,98,丹,牡丹亭梦,牡丹亭梦残,正文
57,牡丹亭,第十四出,醉桃源,否,98,红,花枝红泪弹,花枝红泪弹,正文
0,牡丹亭,第十四出,刷子序犯,否,99
58,牡丹亭,第十四出,朱奴儿犯,否,100,朱,朱奴儿,朱奴儿犯,曲牌
58,牡丹亭,第十四出,朱奴儿犯,否,100,丹青,绢、丹青,取素绢、丹青,正文
58,牡丹亭,第十四出,朱奴儿犯,否,100,丹青,幅、丹青,”绢幅、丹青,正文
59,牡丹亭,第十四出,普天乐,否,101,红,甚的红颜易,可甚的红颜易老,正文
60,牡丹亭,第十四出,雁过声,否,102,青,眉梢青未了,渲云鬟烟霭飘萧；眉梢青未了,正文
60,牡丹亭,第十四出,雁过声,否,102,翠,山钿翠小,可可的淡春山钿翠小,正文
61,牡丹亭,第十四出,倾怀序,否,103,青,捻青梅闲,捻青梅闲厮调,正文
61,牡丹亭,第十四出,倾怀序,否,103,翠,几叶翠芭蕉,斜添他几叶翠芭蕉,正文
62,牡丹亭,第十四出,玉芙蓉,否,104,丹青,丹青女易,丹青女易描,正文
0,牡丹亭,第十四出,山桃犯,否,105
63,牡丹亭,第十四出,尾犯序,否,106,金,了个金屋藏,当了个金屋藏娇,正文
64,牡丹亭,第十四出,鲍老催,否,107,丹青,咱巧丹青休涴,把咱巧丹青休涴了,正文
65,牡丹亭,第十四出,尾声,否,108,翠,前珠翠与心,眼前珠翠与心违,下场诗
66,牡丹亭,第十五出,一枝花,否,109,金,家大金皇帝,”自家大金皇帝完颜亮是也,正文
66,牡丹亭,第十五出,一枝花,否,109,金,为溜金王之,俺先封他为溜金王之职,正文
67,牡丹亭,第十五出,北二犯江儿水,否,110,兰,倚着兰桡,向西湖上笑倚着兰桡,正文
0,牡丹亭,第十五出,北尾,否,111
68,牡丹亭,第十六出,三登乐,否,112,红,则是红颜薄,偏则是红颜薄命,正文
0,牡丹亭,第十六出,清平乐,否,113
69,牡丹亭,第十六出,驻马听,否,114,丹,九还丹丹不,怕九还丹丹不的腌臜证,正文
69,牡丹亭,第十六出,驻马听,否,114,丹,还丹丹不的,怕九还丹丹不的腌臜证,正文
70,牡丹亭,第十六出,驻马听,是,115,丹,在牡丹亭上,把小姐端端正正抱在牡丹亭上去了,正文
70,牡丹亭,第十六出,驻马听,是,115,金,印嫌金带重,“肘后印嫌金带重,正文
71,牡丹亭,第十六出,驻马听,是,116,紫,则叫紫阳宫,则叫紫阳宫石道婆诵些经卷可矣,正文
0,牡丹亭,第十六出,驻马听,是,117
0,牡丹亭,第十六出,尾声,否,118
0,牡丹亭,第十七出,风入松,否,119
72,牡丹亭,第十七出,集唐,否,120,紫,“紫府空,“紫府空歌碧落寒　李群玉,正文
72,牡丹亭,第十七出,集唐,否,120,紫,贫道紫阳宫,”贫道紫阳宫石道姑是也,正文
