序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
43,南柯记,第十出,锁南枝,否,69,红,俺红袖扶,俺红袖扶,正文
44,南柯记,第十出,锁南枝,是,70,黑,一枕黑甜余,一枕黑甜余,正文
45,南柯记,第十出,锁南枝,是,71,紫,（紫,（紫,正文
45,南柯记,第十出,锁南枝,是,71,青,有青油障,有青油障,正文
45,南柯记,第十出,锁南枝,是,71,白,驾车白牛当,驾车白牛当步趋,正文
45,南柯记,第十出,锁南枝,是,71,紫,（紫请生,（紫请生上车介,正文
45,南柯记,第十出,锁南枝,是,71,紫,（紫,（紫,正文
45,南柯记,第十出,锁南枝,是,71,紫,（紫,（紫,正文
45,南柯记,第十出,锁南枝,是,71,紫,（一紫衣先,（一紫衣先下,正文
45,南柯记,第十出,锁南枝,是,71,紫,问一紫衣介,（生问一紫衣介,括号
45,南柯记,第十出,锁南枝,是,71,紫,（紫,（紫,正文
45,南柯记,第十出,锁南枝,是,71,金,与金枝公,与金枝公主成礼,正文
45,南柯记,第十出,锁南枝,是,71,紫,前二紫衣同,（前二紫衣同生车上介,括号
46,南柯记,第十出,锁南枝,是,72,紫,（紫跪介,（紫跪介,正文
46,南柯记,第十出,锁南枝,是,72,朱,重楼朱户,城上重楼朱户,正文
46,南柯记,第十出,锁南枝,是,72,金,中间金牌四,中间金牌四个字,正文
46,南柯记,第十出,锁南枝,是,72,朱,边厢朱门洞,怎左边厢朱门洞开,正文
46,南柯记,第十出,锁南枝,是,72,紫,（紫,（紫跪介,正文
46,南柯记,第十出,锁南枝,是,72,紫,（紫,（紫跪介,正文
46,南柯记,第十出,锁南枝,是,72,紫,有紫衣官,有紫衣官在此演礼,正文
47,南柯记,第十一出,点绛唇,否,73,绿,绿槐根,绿槐根里侍朝班,正文
47,南柯记,第十一出,点绛唇,否,73,黄,殿同黄门官,（周弁领直殿同黄门官上,括号
47,南柯记,第十一出,点绛唇,否,73,朱,一点朱衣剑,一点朱衣剑佩环,正文
47,南柯记,第十一出,点绛唇,否,73,绿,绿满宫,绿满宫槐道,正文
47,南柯记,第十一出,点绛唇,否,73,黄,免和黄门官,不免和黄门官在此候驾,正文
48,南柯记,第十一出,点绛唇,是,74,朱,朱华一,朱华一粒戴鳌鱼,正文
48,南柯记,第十一出,点绛唇,是,74,朱,朱华玉,朱华玉导,正文
48,南柯记,第十一出,点绛唇,是,74,红,红云晓,红云晓,正文
48,南柯记,第十一出,点绛唇,是,74,红,引的红鸾到,也引的红鸾到,正文
48,南柯记,第十一出,点绛唇,是,74,金,有女金枝公,有女金枝公主,正文
48,南柯记,第十一出,点绛唇,是,74,黄,（黄门跪,（黄门跪介,正文
48,南柯记,第十一出,点绛唇,是,74,黄,（黄门应,（黄门应介,正文
49,南柯记,第十一出,绛都春序,否,75,朱,步把朱门到,猛然百步把朱门到,正文
49,南柯记,第十一出,绛都春序,否,75,金,怎生金殿上,怎生金殿上炉烟绕,正文
49,南柯记,第十一出,绛都春序,否,75,金,金瓜玉,金瓜玉斧,正文
50,南柯记,第十一出,绛都春序,是,76,黄,（黄,（黄,正文
50,南柯记,第十一出,绛都春序,是,76,黄,（黄门赞,（黄门赞拜兴拜兴三叩头介,正文
50,南柯记,第十一出,绛都春序,是,76,黄,（黄,（黄,正文
50,南柯记,第十一出,绛都春序,是,76,金,与金枝公,与金枝公主成亲,正文
50,南柯记,第十一出,绛都春序,是,76,金,封为金枝公,封为金枝公主,正文
50,南柯记,第十一出,绛都春序,是,76,金,摆列金羔银,你看：一路上摆列金羔银雁各二十对,正文
50,南柯记,第十一出,绛都春序,是,76,银,金羔银雁各,你看：一路上摆列金羔银雁各二十对,正文
50,南柯记,第十一出,绛都春序,是,76,丹,丹墀下,丹墀下扬尘舞蹈,正文
50,南柯记,第十一出,绛都春序,是,76,金,许以金枝,许以金枝,正文
50,南柯记,第十一出,绛都春序,是,76,黄,（黄门官,（黄门官唱驾还宫,正文
0,南柯记,第十二出,上林春,否,77
51,南柯记,第十二出,出队子,否,78,金,彩碧金钿珠,彩碧金钿珠翠香,正文
51,南柯记,第十二出,出队子,否,78,翠,钿珠翠香,彩碧金钿珠翠香,正文
51,南柯记,第十二出,出队子,否,78,赤,一个赤琅当,好一个赤琅当五寸长牛鼻子,正文
51,南柯记,第十二出,出队子,否,78,红,结水红汗巾,足下与琼英娘子结水红汗巾,正文
51,南柯记,第十二出,出队子,否,78,金,供养金钗、,俺于讲下供养金钗、犀盒,正文
52,南柯记,第十二出,出队子,是,79,金,金枝公,金枝公主字瑶芳,正文
52,南柯记,第十二出,出队子,是,79,紫,（紫上,（紫上,正文
52,南柯记,第十二出,出队子,是,79,紫,（紫衣扶,（紫衣扶生升车介,正文
53,南柯记,第十二出,出队子,是,80,金,步围金障,步围金障,正文
53,南柯记,第十二出,出队子,是,80,金,步围金障,步围金障,正文
54,南柯记,第十二出,出队子,是,81,翠,翠罗黄,翠罗黄帐,正文
54,南柯记,第十二出,出队子,是,81,黄,翠罗黄帐,翠罗黄帐,正文
54,南柯记,第十二出,出队子,是,81,翠,翠罗黄,翠罗黄帐,正文
54,南柯记,第十二出,出队子,是,81,黄,翠罗黄帐,翠罗黄帐,正文
54,南柯记,第十二出,出队子,是,81,粉,粉帕金,粉帕金钗惹梦长,正文
54,南柯记,第十二出,出队子,是,81,金,粉帕金钗惹,粉帕金钗惹梦长,正文
0,南柯记,第十二出,出队子,是,82
0,南柯记,第十三出,淸江引,否,83
55,南柯记,第十三出,女冠子,否,84,朱,试临朱户,试临朱户,正文
55,南柯记,第十三出,女冠子,否,84,金,金穴名,金穴名姝,正文
56,南柯记,第十三出,锦堂月,否,85,金,帽插金蝉,帽插金蝉,正文
56,南柯记,第十三出,锦堂月,否,85,翠,翠拂画,翠拂画眉轻线,正文
56,南柯记,第十三出,锦堂月,否,85,金,拈金盏,拈金盏,正文
56,南柯记,第十三出,锦堂月,否,85,绿,看绿蚁香,看绿蚁香浮,正文
56,南柯记,第十三出,锦堂月,否,85,翠,这翠槐宫,这翠槐宫院,正文
57,南柯记,第十三出,锦堂月,是,86,金,号金枝旧,号金枝旧种灵根,正文
58,南柯记,第十三出,锦堂月,是,87,金,种出金莲,无情种出金莲,正文
0,南柯记,第十三出,锦堂月,是,88
0,南柯记,第十三出,醉翁子,否,89
0,南柯记,第十三出,醉翁子,是,90
0,南柯记,第十三出,侥侥令,否,91
59,南柯记,第十三出,侥侥令,是,92,红,取新红粗如,试取新红粗如人世显,正文
60,南柯记,第十三出,尾声,否,93,黄,莫闭黄金屋,传声莫闭黄金屋,下场诗
60,南柯记,第十三出,尾声,否,93,金,闭黄金屋,传声莫闭黄金屋,下场诗
60,南柯记,第十三出,尾声,否,93,红,略把红鸾蘸,尽今宵略把红鸾蘸,正文
61,南柯记,第十四出,贺圣朝,否,94,赤,萝王赤脸引,（檀萝王赤脸引队众上,括号
61,南柯记,第十四出,贺圣朝,否,94,黄,黄头赤,黄头赤脚瘦挼莎,正文
61,南柯记,第十四出,贺圣朝,否,94,赤,黄头赤脚瘦,黄头赤脚瘦挼莎,正文
61,南柯记,第十四出,贺圣朝,否,94,白,东尽白檀,我国东尽白檀,正文
61,南柯记,第十四出,贺圣朝,否,94,紫,西连紫逻,西连紫逻,正文
61,南柯记,第十四出,贺圣朝,否,94,赤,咱形赤驳,咱形赤驳,正文
61,南柯记,第十四出,贺圣朝,否,94,赤,他如赤象之,愤他如赤象之雄,正文
0,南柯记,第十四出,豹子令,否,95
0,南柯记,第十四出,豹子令,是,96
62,南柯记,第十五出,宝鼎现,否,97,绿,绿槐风,绿槐风小,正文
63,南柯记,第十五出,玉楼春,否,98,赤,兖州赤黑相,在兖州赤黑相斗,正文
63,南柯记,第十五出,玉楼春,否,98,黑,州赤黑相斗,在兖州赤黑相斗,正文
63,南柯记,第十五出,玉楼春,否,98,赤,赤者断,赤者断头而死,正文
63,南柯记,第十五出,玉楼春,否,98,黄,邺都黄黑交,在邺都黄黑交战,正文
63,南柯记,第十五出,玉楼春,否,98,黑,都黄黑交战,在邺都黄黑交战,正文
63,南柯记,第十五出,玉楼春,否,98,黄,黄者班,黄者班师而薨,正文
64,南柯记,第十五出,好事近,否,99,黄,天开黄道,摆鸾舆天开黄道,正文
64,南柯记,第十五出,好事近,否,99,金,连天金鼓,连天金鼓,正文
65,南柯记,第十五出,千秋岁,否,100,金,金鼓震,金鼓震天,正文
65,南柯记,第十五出,千秋岁,否,100,绿,树为绿毛,以草树为绿毛,正文
66,南柯记,第十五出,好事近,否,101,紫,惊破紫霞毫,一声惊破紫霞毫,正文
66,南柯记,第十五出,好事近,否,101,金,刻在金镶玉,可雕刻在金镶玉板之上,正文
66,南柯记,第十五出,好事近,否,101,乌,子虚乌有,笑子虚乌有,正文
0,南柯记,第十五出,千秋岁,否,102
67,南柯记,第十五出,越恁好,否,103,翠,茸茸翠矟,翦茸茸翠矟,正文
0,南柯记,第十五出,越恁好,是,104
68,南柯记,第十五出,红绣鞋,否,105,红,红绣鞋,红绣鞋,曲牌
68,南柯记,第十五出,红绣鞋,否,105,赤,毛赤剥,毛赤剥,正文
0,南柯记,第十五出,尾声,否,106
69,南柯记,第十六出,蓦山溪,否,107,翠,翠压巫,翠压巫山雨,正文
70,南柯记,第十六出,阮郎归,否,108,金,缕金香穗,缕金香穗归,正文
70,南柯记,第十六出,阮郎归,否,108,绿,绿窗槐,绿窗槐影翠依微,正文
70,南柯记,第十六出,阮郎归,否,108,翠,槐影翠依微,绿窗槐影翠依微,正文
71,南柯记,第十六出,白练序,否,109,白,白练序,白练序,曲牌
71,南柯记,第十六出,白练序,否,109,白,人平白地,教人平白地,正文
72,南柯记,第十六出,醉太平,否,110,白,不明白怎寻,不明白怎寻归路,正文
73,南柯记,第十六出,白练序,否,111,白,白练序,白练序,曲牌
74,南柯记,第十六出,醉太平,否,112,乌,报慈乌,不报慈乌,正文
75,南柯记,第十六出,尾声,否,113,绿,绿槐无,绿槐无限好,下场诗
76,南柯记,第十七出,绕地游,否,114,金,金章紫,金章紫绶,正文
76,南柯记,第十七出,绕地游,否,114,紫,金章紫绶,金章紫绶,正文
76,南柯记,第十七出,绕地游,否,114,紫,紫衣官,紫衣官早到也,正文
76,南柯记,第十七出,绕地游,否,114,紫,（紫上,（紫上,正文
76,南柯记,第十七出,绕地游,否,114,紫,（紫,（紫上,正文
77,南柯记,第十七出,剔银灯,否,115,银,剔银灯,剔银灯,曲牌
78,南柯记,第十七出,剔银灯,是,116,紫,（紫,（紫,正文
78,南柯记,第十七出,剔银灯,是,116,金,玉人金屋,他与玉人金屋,正文
78,南柯记,第十七出,剔银灯,是,116,黄,不得黄金如,怎佩不得黄金如斗,正文
78,南柯记,第十七出,剔银灯,是,116,金,得黄金如斗,怎佩不得黄金如斗,正文
0,南柯记,第十八出,西江月,否,117
79,南柯记,第十八出,集唐,否,118,紫,盈照紫微,盈盈照紫微,正文
80,南柯记,第十八出,西江月,是,119,金,款蹙金莲步,款蹙金莲步障,正文
0,南柯记,第十八出,玉胞肚,否,120
0,南柯记,第十八出,玉胞肚,是,121
81,南柯记,第十八出,粉蝶儿,否,122,粉,粉蝶儿,粉蝶儿,曲牌
81,南柯记,第十八出,粉蝶儿,否,122,紫,（紫衣捧,（紫衣捧诏上,正文
81,南柯记,第十八出,粉蝶儿,否,122,黄,诏选黄堂,诏选黄堂,正文
81,南柯记,第十八出,粉蝶儿,否,122,紫,（紫见叩,（紫见叩头介,正文
81,南柯记,第十八出,粉蝶儿,否,122,黄,驸马黄堂之,驸马黄堂之尊了,正文
0,南柯记,第十八出,玉胞肚,否,123
0,南柯记,第十八出,玉胞肚,是,124
82,南柯记,第十八出,尾声,否,125,紫,（紫,（紫,正文
83,南柯记,第十九出,生查子,否,126,紫,（紫引队,（紫引队子上,正文
83,南柯记,第十九出,生查子,否,126,朱,起了朱门户,遍起了朱门户,正文
84,南柯记,第十九出,生查子,是,127,紫,（紫,（紫,正文
84,南柯记,第十九出,生查子,是,127,紫,（紫,（紫,正文
85,南柯记,第十九出,桂枝香,否,128,紫,（紫,（紫,正文
85,南柯记,第十九出,桂枝香,否,128,紫,（紫,（紫,正文
86,南柯记,第十九出,神仗儿,否,129,紫,（二紫衣上,（二紫衣上,正文
86,南柯记,第十九出,神仗儿,否,129,银,玉楼银榜枕,玉楼银榜枕严城,正文
86,南柯记,第十九出,神仗儿,否,129,翠,翠盖红,翠盖红旗列禁庭,正文
86,南柯记,第十九出,神仗儿,否,129,红,翠盖红旗列,翠盖红旗列禁庭,正文
86,南柯记,第十九出,神仗儿,否,129,紫,（紫,（紫,正文
87,南柯记,第二十出,传言玉女,否,130,紫,（紫衣见,（紫衣见介,正文
87,南柯记,第二十出,传言玉女,否,130,紫,（紫,（紫衣见介,正文
87,南柯记,第二十出,传言玉女,否,130,金,奁、金玉、,娘娘传旨：房奁、金玉、锦绣、车马人从,正文
87,南柯记,第二十出,传言玉女,否,130,紫,（紫,（紫衣见介,正文
88,南柯记,第二十出,疏影,否,131,紫,（紫衣报,（紫衣报介,正文
88,南柯记,第二十出,疏影,否,131,紫,（紫催介,（紫催介,正文
88,南柯记,第二十出,疏影,否,131,绿,疾着绿槐幢,快疾着绿槐幢下,正文
0,南柯记,第二十出,画眉序,否,132
0,南柯记,第二十出,画眉序,是,133
0,南柯记,第二十出,画眉序,是,134
0,南柯记,第二十出,画眉序,是,135
0,南柯记,第二十出,滴溜子,否,136
0,南柯记,第二十出,鲍老催,否,137
0,南柯记,第二十出,双声子,否,138
0,南柯记,第二十出,尾声,否,139
89,南柯记,第二十一出,字字双,否,140,黄,印坐黄堂,权官掌印坐黄堂,正文
90,南柯记,第二十一出,字字双,是,141,金,爷寸金日子,老爷寸金日子不可错过,正文
90,南柯记,第二十一出,字字双,是,141,银,可要银子不,问词讼可要银子不要,正文
90,南柯记,第二十一出,字字双,是,141,银,不要银子,不要银子,正文
90,南柯记,第二十一出,字字双,是,141,银,既要银子,爷既要银子,正文
90,南柯记,第二十一出,字字双,是,141,黄,底有黄金,书底有黄金,正文
90,南柯记,第二十一出,字字双,是,141,金,有黄金,书底有黄金,正文
90,南柯记,第二十一出,字字双,是,141,金,寸金日子,老爷寸金日子不可错过,正文
90,南柯记,第二十一出,字字双,是,141,金,、销金伞,公主殿；要珍珠轿、销金伞,正文
90,南柯记,第二十一出,字字双,是,141,红,送心红纸张,带办吏送心红纸张,正文
90,南柯记,第二十一出,字字双,是,141,粉,陈胭粉馨香,表子铺借铺陈胭粉馨香,正文
0,南柯记,第二十一出,亭前柳,否,142
91,南柯记,第二十一出,亭前柳,是,143,翠,珠翠缕金,珠翠缕金装,正文
91,南柯记,第二十一出,亭前柳,是,143,金,翠缕金装,珠翠缕金装,正文
91,南柯记,第二十一出,亭前柳,是,143,黑,车换黑貂,结束征车换黑貂,正文
91,南柯记,第二十一出,亭前柳,是,143,紫,紫云新,紫云新苑移花处,正文
92,南柯记,第二十二出,满庭芳,否,144,紫,紫陌尘,紫陌尘闲,正文
92,南柯记,第二十二出,满庭芳,否,144,绿,春晖绿草,春晖绿草,正文
93,南柯记,第二十二出,木兰花令,否,145,兰,木兰花令,木兰花令,曲牌
93,南柯记,第二十二出,木兰花令,否,145,金,斜盘金凤缕,宝盖斜盘金凤缕,正文
93,南柯记,第二十二出,木兰花令,否,145,绿,绿槐风,绿槐风软度行云,正文
94,南柯记,第二十二出,甘州歌,否,146,青,青袍旧,青袍旧,正文
94,南柯记,第二十二出,甘州歌,否,146,绿,绿鬓鲜,绿鬓鲜,正文
95,南柯记,第二十二出,甘州歌,是,147,紫,紫绶腰,紫绶腰悬,正文
95,南柯记,第二十二出,甘州歌,是,147,翠,翠盖绿,翠盖绿油轻展,正文
95,南柯记,第二十二出,甘州歌,是,147,绿,翠盖绿油轻,翠盖绿油轻展,正文
96,南柯记,第二十二出,甘州歌,是,148,翠,铃动翠钿,鸾铃动翠钿,正文
96,南柯记,第二十二出,甘州歌,是,148,红,陌上红尘深,陌上红尘深浅,正文
96,南柯记,第二十二出,甘州歌,是,148,紫,时杂紫衣禅,妓衣时杂紫衣禅,正文
97,南柯记,第二十二出,甘州歌,是,149,兰,似兰亭景,似兰亭景幽围翠岭,正文
97,南柯记,第二十二出,甘州歌,是,149,翠,幽围翠岭,似兰亭景幽围翠岭,正文
97,南柯记,第二十二出,甘州歌,是,149,金,玉楼金榜洞,玉楼金榜洞中天,正文
0,南柯记,第二十二出,尾声,否,150
98,南柯记,第二十三出,夜游湖,否,151,紫,紫云袍,紫云袍花胜朝天,正文
99,南柯记,第二十三出,忆秦娥,否,152,青,暗展青槐叶,香风暗展青槐叶,正文
99,南柯记,第二十三出,忆秦娥,否,152,青,青槐叶,香风暗展青槐叶,正文
0,南柯记,第二十三出,玩仙灯,否,153
100,南柯记,第二十三出,玉山颓,否,154,金,上产金莲,便是血盆池上产金莲,正文
101,南柯记,第二十三出,玉山颓,是,155,紫,便宣紫衣官,便宣紫衣官一员,正文
101,南柯记,第二十三出,玉山颓,是,155,紫,紫衣乘,紫衣乘传,正文
102,南柯记,第二十四出,清江引,否,156,紫,（紫衣走,（紫衣走马捧经背敕上,正文
102,南柯记,第二十四出,清江引,否,156,紫,自家紫衣官,自家紫衣官是也,正文
102,南柯记,第二十四出,清江引,否,156,紫,紫衣郎,紫衣郎走马南柯下,正文
102,南柯记,第二十四出,清江引,否,156,青,则见青山浓,则见青山浓翠,正文
102,南柯记,第二十四出,清江引,否,156,翠,山浓翠,则见青山浓翠,正文
102,南柯记,第二十四出,清江引,否,156,绿,绿水渊,绿水渊环,正文
103,南柯记,第二十四出,孝白歌,否,157,紫,（紫,（紫,正文
103,南柯记,第二十四出,孝白歌,否,157,白,孝白歌,孝白歌,曲牌
103,南柯记,第二十四出,孝白歌,否,157,紫,（紫前问,（紫前问介,正文
104,南柯记,第二十四出,孝白歌,是,158,紫,（紫,（紫,正文
105,南柯记,第二十四出,孝白歌,是,159,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
106,南柯记,第二十四出,孝白歌,是,160,紫,（紫,（紫,正文
0,南柯记,第二十五出,绕地游,否,161
107,南柯记,第二十五出,破齐阵,否,162,银,半落银河,当窗半落银河,正文
